This is the updated measurement:
goos: linux
goarch: amd64
pkg: gonum.org/v1/gonum/mathext
cpu: AMD Ryzen 9 5900X 12-Core Processor
BenchmarkLi2Heatmap/grid/re[66:77]_im[121:132]     	    6480	      9179 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[121:132]     	    6422	      9247 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[121:132]     	    6405	      9221 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[121:132]    	    6346	      9295 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[121:132]   	    6426	      9247 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[121:132]   	    6412	      9259 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[121:132]   	    6410	      9323 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[121:132]   	    6501	      9395 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[121:132]   	   10000	      5895 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[132:143]      	    6338	      9438 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[132:143]     	    6340	      9405 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[132:143]     	    6396	      9639 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[132:143]     	    4652	     12919 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[132:143]     	    4394	     12220 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[132:143]     	    6290	      9702 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[132:143]     	    6225	     10098 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[132:143]     	    6357	      9363 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[132:143]     	    6522	      9247 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[132:143]    	    6432	      9301 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[132:143]   	    6435	      9259 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[132:143]   	    6409	      9267 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[132:143]   	    6447	      9325 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[132:143]   	    6488	      9215 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[132:143]   	   10000	      6228 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[143:154]      	    5229	      9663 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[143:154]     	    6451	      9709 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[143:154]     	    5955	      9736 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[143:154]     	    6349	      9323 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[143:154]     	    6416	      9329 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[143:154]     	    6475	      9207 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[143:154]     	    6544	      9206 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[143:154]     	    6495	      9239 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[143:154]     	    6502	      9185 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[143:154]    	    6394	      9204 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[143:154]   	    6432	      9262 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[143:154]   	    6486	      9211 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[143:154]   	    6373	      9219 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[143:154]   	    6433	      9323 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[143:154]   	   10000	      5900 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[154:161]      	    9948	      5948 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[154:161]     	   10000	      5908 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[154:161]     	   10000	      5900 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[154:161]     	    9999	      5908 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[154:161]     	   10000	      5912 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[154:161]     	   10000	      5863 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[154:161]     	   10000	      5867 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[154:161]     	   10000	      5934 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[154:161]     	   10000	      5887 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[154:161]    	   10000	      5866 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[154:161]   	   10000	      5909 ns/op	       0 B/op	       0 allocs/op
